"id","company_name","registration_number","category","state","original_website","aum","contact_email","contact_phone","business_summary","primary_focus","validated_urls","confidence_level","data_completeness"
109,"Abhiyan Capital (India) Private Limited {Earlier known as Dowell Fiscal Services Private Limited}","ROW-125",NULL,NULL,"https://www.abhiyancapital.com/",NULL,NULL,NULL,"Abhiyan Capital is a mission-driven Non-Banking Financial Company (NBFC) that specializes in providing secured business loans to micro-enterprises and self-employed individuals with informal income, often operating in underbanked markets of India. Their focus is to help businesses grow by offering credit solutions even when formal documentation is scarce. They offer loans up to ₹15 lakh for tenures of up to 7 years.","MSME","{homepage:https://www.abhiyancapital.com/}","high","1.00"
110,"ABT Finance Limited","ROW-132",NULL,NULL,"https://abt-finance-limited.charteredone.com/U65921TZ1985PLC001575",NULL,NULL,NULL,"ABT FINANCE LIMITED is a Non-government company involved in Activities Of Hire - Purchase Financing. It provides financial services and has been incorporated for 40 years. The company's authorized share capital is Rs. 81,000,000 and its paid-up capital is Rs. 75,002,000.","MSME","{homepage:https://abt-finance-limited.charteredone.com/U65921TZ1985PLC001575}","medium","0.86"
111,"Accord Securities  Ltd.","ROW-135",NULL,NULL,"https://www.accordsecurities.com/",NULL,NULL,NULL,"Accord Securities Limited is a tech-enabled Non-Banking Finance Company that provides digital lending services, offering loans with paperless documentation and fast processing. They aim to establish businesses for their clients using state-of-the-art techniques. Their services include online banking, competitive interest rates, and expert digital lending.","Multi-Product","{homepage:https://www.accordsecurities.com/}","medium","0.86"
112,"Accredit Distributors (P) Ltd","ROW-136",NULL,NULL,"https://accredit-distributors-pvt-ltd.charteredone.com/U74140WB1994PTC062186",NULL,NULL,NULL,"ACCREDIT DISTRIBUTORS PVT LTD is a private limited company that provides business and management consultancy activities, including provision of advice.","MSME","{homepage:https://accredit-distributors-pvt-ltd.charteredone.com/U74140WB1994PTC062186}","medium","0.86"
113,"Accredut Finance And Investment Private Limited","ROW-137",NULL,NULL,"https://www.accredutfinance.com/",NULL,NULL,NULL,"Accredut Finance is a Non-Banking Financial Company (NBFC) that offers a wide range of financial products tailored to meet diverse needs, including loan against property, MSME loans, working capital loans, and personal loans.","MSME","{homepage:https://www.accredutfinance.com/,products:https://www.accredutfinance.com/}","high","1.00"
114,"Ace Finlease Private Limited","ROW-141",NULL,NULL,"https://acegroup.in/companies/",NULL,NULL,NULL,"ACE Group is a diversified business group with an annual turnover of rupees 350 Crores, founded by late Sri. Leeladhar Kamath in the 60's, with interests in jewellery retailing, automobile dealership, finance, construction, and global trading.","Multi-Product","{about:https://acegroup.in/about-us/,homepage:https://acegroup.in/companies/,team:https://acegroup.in/contact-us/}","medium","0.86"
115,"Achyut & Neeta Holdings & Finance Private Limited","ROW-149",NULL,NULL,"https://www.achyutneeta.com/",NULL,NULL,NULL,"Achyut & Neeta Holdings & Finance Private Limited offers tailored loan solutions to meet diverse financial needs, providing flexible repayment terms and competitive interest rates.","Multi-Product","{homepage:https://www.achyutneeta.com/}","medium","0.86"
116,"Acsys Investments Private Limited","ROW-155",NULL,NULL,"https://www.acsysindia.com/",NULL,NULL,NULL,"Acsys Investments is an RBI-registered investment NBFC that focuses on prop investments, including equity, debt, structured products, and private equity. They invest their own funds and provide a high-quality team of analysts to understand startups' business ideas. The company aims to make quick decisions and complete paperwork for disbursement.","Multi-Product","{homepage:https://www.acsysindia.com/}","medium","0.86"
117,"Add - Truck Commercial Pvt Ltd","ROW-165",NULL,NULL,"https://asia.daimlertruck.com/en/press-releases/india/bharatbenz-customers-gain-attractive-finance-options/",NULL,NULL,NULL,"BharatBenz, a brand of commercial vehicles, has partnered with 18 leading banks/NBFCs to offer finance schemes to its customers. This partnership aims to provide greater financing flexibility and convenience to CV customers. The company's customer-centric approach is focused on providing a hassle-free buying experience.","MSME","{products:https://asia.daimlertruck.com/en/press-releases/india/bharatbenz-customers-gain-attractive-finance-options/en/,homepage:https://asia.daimlertruck.com/en/press-releases/india/bharatbenz-customers-gain-attractive-finance-options/,about:https://asia.daimlertruck.com/en/press-releases/india/bharatbenz-customers-gain-attractive-finance-options/en/about-us/,team:https://asia.daimlertruck.com/en/press-releases/india/bharatbenz-customers-gain-attractive-finance-options/en/about-us/business-unit/mftbc/management/}","high","1.00"
118,"Adhunik Investments Private Limited","ROW-172",NULL,NULL,"https://www.adhunikfinserve.com/",NULL,NULL,NULL,"Adhunik Finserve is an advisory firm providing financial services, including retail funding for businesses and individuals. They assist clients in unlocking value and exploring their full potentiality. The company offers a range of financial solutions.","Multi-Product","{homepage:https://www.adhunikfinserve.com/,team:https://www.adhunikfinserve.com/contact-us/,about:https://www.adhunikfinserve.com/about-us/}","medium","0.86"
119,"Advik Capital Ltd","ROW-205",NULL,NULL,"https://www.advik.co.in/",NULL,NULL,NULL,"ADVIK HI- TECH PVT. LTD. is a leading manufacturer of precision components and systems for automotive markets worldwide, providing technologically advanced and optimally engineered value-added products to mobility solution providers globally.","Not specified on website","{team:https://www.advik.co.in/company/leadership-team/,homepage:https://www.advik.co.in/,about:https://www.advik.co.in/company/}","low","0.71"
120,"Aeroflex Finance Private Limited","ROW-211",NULL,NULL,"https://aeroflexfinance.com/",NULL,NULL,NULL,"Aeroflex Finance Private Limited is a Non-Banking Financial Company (NBFC) providing comprehensive financial solutions to businesses and individuals. They offer various loan products, including SME/Business Loans, Working Capital Loans, Consumer Loans, and more. Their goal is to empower entrepreneurs and individuals with flexible and customized loan products.","MSME","{team:https://aeroflexfinance.com/contact-us/,products:https://aeroflexfinance.com,about:https://aeroflexfinance.com/about-us/,homepage:https://aeroflexfinance.com/}","medium","0.86"
121,"Agarwal Assignments Pvt. Ltd.","ROW-220",NULL,NULL,"https://www.agarwalassignments.com/",NULL,NULL,NULL,"Agarwal Assignments Pvt. Ltd. is an NBFC that offers lending services for individuals and businesses, with a focus on responsible lending and financial access for all.","MSME","{homepage:https://www.agarwalassignments.com/}","high","1.00"
122,"Agarwal Finestate Pvt.Ltd.","ROW-222",NULL,NULL,"https://agarwal-finestate-private-limited.charteredone.com/U65993HR1995PTC094169",NULL,NULL,NULL,"AGARWAL FINESTATE PRIVATE LIMITED is a Non-government company involved in Activities Of Chit Fund/Kuri Companies, providing financial services and products.","MSME","{homepage:https://agarwal-finestate-private-limited.charteredone.com/U65993HR1995PTC094169}","medium","0.86"
123,"Agarwal Fiscal Private Limited","ROW-223",NULL,NULL,"https://www.agarwalassignments.com/",NULL,NULL,NULL,"Agarwal Assignments Pvt. Ltd. is an NBFC that provides lending services for individuals and businesses, focusing on responsible lending and financial access for all.","MSME","{homepage:https://www.agarwalassignments.com/}","high","1.00"
124,"Agf Finlease Pvt. Ltd.","ROW-232",NULL,NULL,"https://agffinlease.com/",NULL,NULL,NULL,"AGF Finlease is an NBFC that provides digital lending services with a focus on fintech, offering various loan products and financial solutions to deserving customers.","Multi-Product","{team:https://agffinlease.com/contact-us/,homepage:https://agffinlease.com/,about:https://agffinlease.com/about-us/}","medium","0.86"
125,"Agrim Fincap Pvt.Ltd.","ROW-248",NULL,NULL,"https://agrimfincap.com/",NULL,NULL,NULL,"Agrim Fincap is a dynamic and progressive, ISO 9001 Certified, Non-Banking Financial Company (NBFC) that specializes in providing hassle-free personal and business loans with simple, streamlined processes, minimal documentation, and quick approvals.","MSME","{about:https://agrimfincap.com/about,homepage:https://agrimfincap.com/,team:https://agrimfincap.com/contact,products:https://agrimfincap.com/services}","high","1.00"
126,"Agro Indus Credits Limited (Formerly Known As Agro Indus Finance And Leasing (India)Ltd","ROW-250",NULL,NULL,"https://www.agroindus.co.in/",NULL,NULL,NULL,"Agro Indus Credits Limited is a trusted and vibrant NBFC that provides financial support to individuals, businesses, and various sectors across India. It offers gold loans, vehicle loans, mortgage loans, insurance, and mutual funds. The company aims to bring financial products within the reach of the lower middle class and economically weaker sections of society.","MSME","{about:https://www.agroindus.co.in/about-us,homepage:https://www.agroindus.co.in/,products:https://www.agroindus.co.in/services/1/Gold-Loan,team:https://www.agroindus.co.in/key-team}","high","1.00"
127,"Almondz Finanz Limited","ROW-351",NULL,NULL,"https://almondzfinanz.com/",NULL,NULL,NULL,"Almondz Finanz Limited is an RBI registered NBFC offering unsecured personal loans to meet diverse financial needs, with a customer-centric approach and competitive interest rates.","Consumer","{homepage:https://almondzfinanz.com/}","high","1.00"
128,"Alpha Alternatives Financial Services Private Limited (Formerly Provincial Finance & Leasing Company Private Limited)","ROW-358",NULL,NULL,"https://alphaalternatives.in/",NULL,NULL,NULL,"Alpha Alternatives provides financial and compliance support services to startups, including accounting, governance, due diligence, corporate secretarial, finance operations, and regulatory compliance.","MSME","{products:https://alphaalternatives.in/services/,homepage:https://alphaalternatives.in/,team:https://alphaalternatives.in/contact-us/}","medium","1.00"
129,"Alpine Commercial Co Ltd","ROW-364",NULL,NULL,"https://www.alpinecommercial.co.in/",NULL,NULL,NULL,"Alpine Commercial Co. Ltd. is an NBFC that carries on the business of investment and financial services, including lending to small businesses and retail customers.","MSME","{team:https://www.alpinecommercial.co.in/resource/Contact_Us.aspx,homepage:https://www.alpinecommercial.co.in/}","medium","0.86"
130,"Alpine Finlease Limited","ROW-365",NULL,NULL,"https://alpinefinlease.com/",NULL,NULL,NULL,"Alpine Finlease Limited is a regulated NBFC-ND providing structured lending solutions to individuals, professionals, and businesses across India with a focus on underserved segments in semi-urban and rural markets.","MSME","{about:https://alpinefinlease.com/about-us-2/,team:https://alpinefinlease.com/contact-us-2/,homepage:https://alpinefinlease.com/,products:https://alpinefinlease.com/personal-loan-2/}","high","1.00"
131,"Amar Vanijya Limited","ROW-390",NULL,NULL,"https://amarvanijya.com/",NULL,NULL,NULL,"Amar Vanijya Ltd is a Non-Banking Financial Company (NBFC) registered with the Reserve Bank of India, providing loans and advances to industrial enterprises, holding investments in various securities, and buying, selling, and investing in shares, stocks, debentures, bonds, mutual funds.","MSME","{products:https://amarvanijya.com/our-service/,team:https://amarvanijya.com/management-team/,homepage:https://amarvanijya.com/,about:https://amarvanijya.com/about-us/}","high","1.00"
132,"Amber Distributors (P) Ltd","ROW-405",NULL,NULL,"https://amberdistributors.com/",NULL,NULL,NULL,"Amber Distributors Private Limited is an RBI-registered NBFC that provides personal loan, business loan, gold loan, and financial advisory services to individuals, entrepreneurs, and businesses. The company aims to make credit accessible, simple, and stress-free. It focuses on creating meaningful financial journeys where transparency, trust, and customer well-being come first.","Multi-Product","{about:https://amberdistributors.com/about-us/,team:https://amberdistributors.com/contact-us/,products:https://amberdistributors.com/personal-loan/,homepage:https://amberdistributors.com/}","high","1.00"
133,"Ample Fincap Pvt Ltd","ROW-435",NULL,NULL,"https://www.amplefincap.com/",NULL,NULL,NULL,"Ample Fincap is a system-driven Non-Banking Financial Company (NBFC) providing efficient, transparent, and customer-friendly financial solutions since 2006. They offer various loan products for businesses, including corporate loans, solar financing, and credit information services. Their goal is to make financing simple, accessible, and impactful.","MSME","{homepage:https://www.amplefincap.com/}","medium","0.86"
134,"Amrit Trade Link (P) Ltd","ROW-444",NULL,NULL,"https://www.amrittrade.com/",NULL,NULL,NULL,"Amrit Tradelink Pvt. Ltd. is a distinguished Non-Banking Financial Corporation established in 1996, providing accessible, transparent, and responsible lending solutions to individuals and businesses.","MSME","{products:https://www.amrittrade.com/services,team:https://www.amrittrade.com/contact-us,about:https://www.amrittrade.com/about-us,homepage:https://www.amrittrade.com/}","medium","1.00"
135,"Anand Rathi Global Finance  Ltd. [Formerly - Rathi Global Finance  Ltd.]","ROW-463",NULL,NULL,"https://anandrathi.com/",NULL,NULL,NULL,"Anand Rathi Investment Services is a part of the trusted Indian Financial conglomerate Anand Rathi Group, offering tailor-made financial solutions to investors from all walks of life and life stages.","Multi-Product","{homepage:https://anandrathi.com/,team:https://anandrathi.com/contact-us,about:https://anandrathi.com/about-us}","high","1.00"
136,"Ankit Credits (P) Ltd","ROW-507",NULL,NULL,"https://ankit-credits-pvt-ltd.charteredone.com/U67120WB1988PTC044447",NULL,NULL,NULL,"ANKIT CREDITS PVT LTD is a private limited company involved in security dealing activities, such as stock broking and related activities.","MSME","{homepage:https://ankit-credits-pvt-ltd.charteredone.com/U67120WB1988PTC044447}","medium","0.86"
137,"Ankita Finvest (P)Ltd","ROW-514",NULL,NULL,"https://www.ankitafinancial.com/about.html",NULL,NULL,NULL,"ANKITA FINANCIAL SERVICES PRIVATE LIMITED is a trusted NBFC dedicated to empowering growth across India through innovative and responsible lending practices, providing tailored credit solutions for diverse business and individual needs.","MSME","{homepage:https://www.ankitafinancial.com/about.html}","medium","1.00"
138,"Annapurna Finance Private Limited.","ROW-525",NULL,NULL,"https://annapurnafinance.in/codes-policies/",NULL,NULL,NULL,"Annapurna Finance Pvt. Ltd (AFPL) provides financial assistance for economic empowerment, offering tailor-made products and services to cater to every life cycle need of clients, with a focus on economically backward clients.","MSME","{homepage:https://annapurnafinance.in/codes-policies/,about:https://annapurnafinance.in/objectives/,products:https://annapurnafinance.in/,team:https://annapurnafinance.in/management-team/}","high","1.00"
139,"Anson Fincorp Pvt. Ltd","ROW-538",NULL,NULL,"https://www.ansonfincorp.in/",NULL,NULL,NULL,"Anson Fincorp is a NonBanking Financial Company (NBFC) that provides gold-backed loans with minimal documentation, focusing on customer satisfaction and transparency. They offer secure and hassle-free gold loan services with quick approval. The company has been in operation for over 28 years.","Gold Loans","{homepage:https://www.ansonfincorp.in/}","high","1.00"
140,"Antworks P2P Financing Private Limited","ROW-550",NULL,NULL,"https://www.antworksp2p.com/",NULL,NULL,NULL,"Antworks Money is an online financial services portal offering a range of secured and unsecured loan options, P2P loans, free credit scores, and credit counseling services. The company aims to democratize the banking and consumer finance industry by providing a transparent, easily accessible, and cost-efficient platform for borrowers and lenders.","Multi-Product","{products:https://www.antworksp2p.com/,about:https://www.antworksp2p.com/about-us,team:https://www.antworksp2p.com/contact-us,homepage:https://www.antworksp2p.com/}","high","1.00"
141,"Anu Colonisers Limited","ROW-551",NULL,NULL,"https://www.anucolonisers.com/",NULL,NULL,NULL,"Anu Colonisers is a Non-Banking Finance Company (NBFC) regulated by the Reserve Bank of India (RBI), offering digital personal loans with various features and eligibility criteria.","MSME","{about:https://www.anucolonisers.com/home-about-us,team:https://www.anucolonisers.com/contactus,homepage:https://www.anucolonisers.com/,products:https://www.anucolonisers.com/digital-personal-loan}","high","1.00"
142,"Anugrah Apex Finance Private Limited","ROW-557",NULL,NULL,"https://www.apexfinancials.in/",NULL,NULL,NULL,"Apex Capital and Finance Limited is a Non-Deposit Accepting Non-Banking Finance Company (NBFC) that provides various financial services, including lending/advancing of short term and/or long term finance to individuals, firms, companies, etc.","MSME","{homepage:https://www.apexfinancials.in/}","medium","0.86"
143,"Anumati Consultancy & Services (P) Ltd","ROW-559",NULL,NULL,"https://www.anumati.co.in/",NULL,NULL,NULL,"Anumati is an account aggregator framework licensed by RBI, allowing users to link their bank accounts and control who they share data with. It provides a platform for financial institutions to access user data securely. Anumati aims to empower users to share and control their data at their fingertips.","MSME","{team:https://www.anumati.co.in/partner-with-us/,homepage:https://www.anumati.co.in/}","high","1.00"
144,"Apaar Source Finance Private Limited","ROW-575",NULL,NULL,"https://apaarfinance.com/",NULL,NULL,NULL,"Apaar Source Finance Pvt. Ltd. is a forward-thinking NBFC providing tailored loan solutions for businesses, startups, MSMEs, and individuals with flexible offerings, transparent processes, and personalized support.","MSME","{products:https://apaarfinance.com/,homepage:https://apaarfinance.com/,team:https://apaarfinance.com/contact/,about:https://apaarfinance.com/about/}","high","1.00"
145,"Aparoksha Financial Services Private Limited","ROW-582",NULL,NULL,"https://aparokshafinserv.com/About",NULL,NULL,NULL,"Aparoksha FinServ is a financial services provider offering tailored two-wheeler loans to individuals in the informal and rural sectors, aiming to enhance mobility and economic opportunity.","MSME","{homepage:https://aparokshafinserv.com/About,team:https://aparokshafinserv.com/Contact,products:https://aparokshafinserv.com}","high","1.00"
146,"Apex Capital And Finance Limited","ROW-586",NULL,NULL,"https://www.apexfinancials.in/",NULL,NULL,NULL,"Apex Capital and Finance Limited is a Non-Deposit Accepting Non-Banking Finance Company (NBFC) that offers various financial services, including lending/advancing of short term and/or long term finance to individuals, firms, companies, and other entities.","MSME","{homepage:https://www.apexfinancials.in/}","medium","0.86"
147,"Appreciate Fincaap Private Limited","ROW-601",NULL,NULL,"https://appreciatewealth.com/about-us",NULL,NULL,NULL,"Asset management company providing investment solutions, managing portfolios for individuals, institutions, and businesses.","Not specified on website","{team:https://appreciatewealth.com/us-stocks/overview/financials/asset-management,products:https://appreciatewealth.com/us-stocks/overview/communication-services/,homepage:https://appreciatewealth.com/about-us}","low","0.71"
148,"Aquila Finance Ltd.","ROW-614",NULL,NULL,"https://www.aquilafinance.co.in/contact",NULL,NULL,NULL,"Aquila Finance is an NBFC that offers various loan products, including Gold Loan, Business Loan, Mortgage Loan, and Personal Loan. The company provides financial services to retail and business customers across India.","Multi-Product","{homepage:https://www.aquilafinance.co.in/contact}","high","1.00"
149,"Aradhya Tie Up (P) Ltd","ROW-617",NULL,NULL,"https://www.aaradhyafinserv.in/products/fixed-deposits",NULL,NULL,NULL,"Aaradhya Finserv offers various financial products including Fixed Deposits, Mutual Funds, Life Insurance, Health and General Insurance, Corporate Bonds, Portfolio Management Services, Alternate Investment Funds, MF Research, Performance Comparison, and more. They are a non-banking financial company (NBFC) that provides investment options to individuals and businesses. Their primary focus is on providing fixed income instruments.","Multi-Product","{products:https://www.aaradhyafinserv.in/products/fixed-deposits/,homepage:https://www.aaradhyafinserv.in/products/fixed-deposits}","medium","0.86"
150,"Areion Finserve Pvt Ltd (Formerly Bathla And Co. Ltd.)","ROW-625",NULL,NULL,"https://www.areionfinserve.in/",NULL,NULL,NULL,"Areion Group is an NBFC providing financial advisory services, distressed industry management, and non-performing asset management to businesses.","MSME","{homepage:https://www.areionfinserve.in/}","high","1.00"
151,"Arham Credit Capital Pvt Ltd *","ROW-630",NULL,NULL,"https://arhamfinance.com/",NULL,NULL,NULL,"Arham Finance is an Indian Non-Banking Finance Company that specializes in Small and Medium Enterprises (SMEs) lending, Digital Lending and Wealth Management. It provides a full range of solutions to complement its services. The company was incorporated on 29th September 1992 and is registered at the Reserve Bank of India (RoC)-Delhi.","MSME","{homepage:https://arhamfinance.com/}","high","1.00"
152,"Arihant's Securities Limited","ROW-644",NULL,NULL,"https://kksecurities.com/fundamental.aspx?pagename=dirrpt&reptype=DIR&companycode=14090155.00",NULL,NULL,NULL,"KK Securities Limited is a non-banking financial company (NBFC) that provides various financial services, including stock broking and market information. The company's primary focus appears to be on providing market data and research to clients. No specific loan products or customer segments are mentioned.","Multi-Product","{homepage:https://kksecurities.com/fundamental.aspx?pagename=dirrpt&reptype=DIR&companycode=14090155.00}","high","1.00"
153,"Arise Investments and Capital Private Limited","ROW-646",NULL,NULL,"https://arisecapital.in/",NULL,NULL,NULL,"Arise Investments and Capital Private Limited is an RBI-registered NBFC that provides collateral-free loans to promote financial independence, focusing on empowering working women in urban and rural areas of Tamil Nadu.","SME","{homepage:https://arisecapital.in/,about:https://arisecapital.in/about,team:https://arisecapital.in/contact}","medium","1.00"
154,"Arohan Financial Services Limited","ROW-667",NULL,NULL,"https://www.arohan.in/",NULL,NULL,NULL,"Arohan provides income generating loans and other financial inclusion related products to customers who have limited or no access to financial services, focusing on low-income households with an annual household income of INR 300,000 or less.","MSME","{homepage:https://www.arohan.in/,team:https://www.arohan.in/arohan-story/our-management/,about:https://www.arohan.in/arohan-story/about-arohan/,products:https://www.arohan.in/products-services/core-products/}","high","1.00"
155,"Arpic Finance Private Limited","ROW-673",NULL,NULL,"https://www.arpicfinance.com/",NULL,NULL,NULL,"Aricp Finance is a Non-Banking Financial Company (NBFC) providing financial solutions to individuals and businesses for over 35 years. They offer personal loans, mortgage loans, JLG loans, and business loans with competitive rates and flexible tenures. Their services are designed to meet unique financial needs.","MSME","{homepage:https://www.arpicfinance.com/}","high","1.00"
156,"Art Climate Finance (India) Private Limited","ROW-678",NULL,NULL,"https://artclimatefinance.com/",NULL,NULL,NULL,"ART Climate Finance is a Non-Banking Financial Company (NBFC) focused on financing solutions for credit-constrained emerging enterprises that address climate change mitigation and adaptation. It provides tailored financing solutions for small and medium enterprises executing climate action projects. The company aims to contribute to India's long-term low-carbon development strategy.","MSME","{products:https://artclimatefinance.com,homepage:https://artclimatefinance.com/}","high","1.00"
157,"Artline Commerce Private Limited","ROW-695",NULL,NULL,"https://artline-commerce-pvt-ltd.charteredone.com/U51109WB1996PTC080243",NULL,NULL,NULL,"ARTLINE COMMERCE PVT LTD is a private limited company involved in other passenger air-transport n.e.c. It provides various financial services including tax and audit, registration, and compliances.","Not specified on website","{homepage:https://artline-commerce-pvt-ltd.charteredone.com/U51109WB1996PTC080243}","low","0.71"
158,"Arunodaya Holdings & Trading Company Private Limited","ROW-707",NULL,NULL,"https://company.vakilsearch.com/arunodaya-holdings-and-trading-co-pvt-ltd/U65990MH1992PTC065274",NULL,NULL,NULL,"The NBFC provides various company registration services, including private limited company registration, partnership firm registration, and sole proprietorship registration.","Not specified on website","{products:https://company.vakilsearch.com/arunodaya-holdings-and-trading-co-pvt-ltd/U65990MH1992PTC065274/chartered-accountant-services,about:https://company.vakilsearch.com,team:https://company.vakilsearch.com/arunodaya-holdings-and-trading-co-pvt-ltd/U65990MH1992PTC065274/partnership-firm-registration,homepage:https://company.vakilsearch.com/arunodaya-holdings-and-trading-co-pvt-ltd/U65990MH1992PTC065274}","medium","0.86"
159,"Aryakube Capital Private Limited","ROW-716",NULL,NULL,"https://aryakubecapital.in/",NULL,NULL,NULL,"Aryakube Capital is a non-deposit taking NBFC registered with RBI, specializing in fixed income and real estate financing, offering flexible funding and high-quality investment advisory services.","MSME","{homepage:https://aryakubecapital.in/}","medium","1.00"
160,"Aseem Infrastructure Finance Limited","ROW-726",NULL,NULL,"https://aseeminfra.in/",NULL,NULL,NULL,"Aseem Infra Finance is a Reserve Bank of India (RBI) registered Non-Banking Finance Company, classified as an Infrastructure Finance Company (NBFC-IFC), providing comprehensive financial solutions for infrastructure development with a focus on sustainability and environmentally conscious projects.","MSME","{homepage:https://aseeminfra.in/}","medium","1.00"
161,"Asha Apartments (P) Ltd","ROW-729",NULL,NULL,"https://www.ashaapartments.com/",NULL,NULL,NULL,"Asha Apartments Pvt Ltd is a registered non-banking financial company (NBFC) providing flexible loan options to customers, with a focus on tailoring loan amounts and competitive interest rates to individual needs.","MSME","{homepage:https://www.ashaapartments.com/}","medium","0.86"
162,"Ashika Global Finance Pvt Ltd","ROW-737",NULL,NULL,"https://www.ashikagroup.com/accl/index.html",NULL,NULL,NULL,"Ashika Credit Capital Ltd is a non-deposit taking, Non-Banking Financial Company (NBFC) registered with the RBI, offering comprehensive fund-based activities including strategic investment services, lending solutions, and derivatives trading.","MSME","{homepage:https://www.ashikagroup.com/accl/index.html}","high","1.00"
163,"Ashika Global Securities Private Limited","ROW-738",NULL,NULL,"https://www.ashikagroup.com/accl/index.html",NULL,NULL,NULL,"Ashika Credit Capital Ltd is an RBI-registered, non-deposit taking, Non-Banking Financial Company (NBFC) offering comprehensive fund-based activities, including strategic investment services and flexible intercorporate and personal lending solutions.","Multi-Product","{homepage:https://www.ashikagroup.com/accl/index.html}","high","1.00"
